Model,Category,RPM,TPM,RPD
Gemini 2 Flash,Text-out models,0 / 0,0 / 0,0 / 0
Gemini 2 Flash Lite,Text-out models,0 / 0,0 / 0,0 / 0
Gemini 2.5 Flash,Text-out models,0 / 5,0 / 250K,0 / 20
Gemini 2.5 Flash Lite,Text-out models,0 / 10,0 / 250K,0 / 20
Gemini 2.5 Pro,Text-out models,0 / 0,0 / 0,0 / 0
Gemini 3 Flash,Text-out models,0 / 5,0 / 250K,0 / 20
Gemini 3.1 Pro,Text-out models,0 / 0,0 / 0,0 / 0
Gemini 3.1 Flash Lite,Text-out models,0 / 15,0 / 250K,0 / 500
Gemini 3.5 Flash,Text-out models,1 / 5,1 / 250K,1 / 20
Gemini 3.5 Flash Lite,Text-out models,1 / 15,1 / 250K,1 / 500
Gemini 3.6 Flash,Text-out models,6 / 5,2.78K / 250K,15 / 20
Gemini 3.7 Flash,Text-out models,1 / 5,1 / 250K,1 / 20
